hotel_id,feature_id
1,15
1,39
1,14
1,1
1,19
1,16
2,14
2,39
2,16
2,1
2,19
3,16
3,14
3,19
3,39
3,1
4,15
4,39
4,14
4,16
4,1
4,19
5,15
5,39
5,14
5,1
5,19
6,15
6,39
7,15
8,1
8,39
8,16
8,14
9,1
9,14
9,39
9,16
9,19
9,15
10,16
10,14
10,15
10,1
10,39
10,19
11,14
11,39
11,19
12,15
12,39
12,14
12,16
12,1
12,19
13,15
13,39
13,14
13,16
13,1
13,19
14,15
14,39
14,14
14,16
14,1
14,19
15,15
15,39
15,14
15,16
15,1
15,19
16,16
16,1
16,39
16,19
16,14
16,15
17,16
17,1
17,15
17,39
17,14
17,19
18,16
18,1
18,39
18,14
18,19
19,1
19,19
19,15
19,39
19,14
19,16
20,15
20,39
20,16
20,1
20,19
21,14
21,19
21,1
21,16
21,39
22,14
22,39
22,15
23,39
23,14
23,15
24,15
24,39
24,14
25,15
25,39
25,14
25,16
25,1
25,19
26,39
26,14
26,16
26,1
26,19
27,15
27,39
27,14
27,16
27,1
27,19
28,39
28,14
28,19
28,1
29,39
29,14
29,16
29,19
29,1
30,39
30,16
30,1
30,19
30,14
30,15
31,39
31,15
31,14
31,16
31,1
31,19
32,15
32,39
32,14
32,1
32,16
32,19
33,15
33,39
33,14
33,16
33,1
33,19
34,15
34,39
34,14
34,1
34,19
34,16
35,39
35,14
35,16
35,1
35,19
36,15
36,39
36,16
36,1
36,19
36,14
37,14
37,39
37,15
37,16
37,1
37,19
38,14
38,15
38,39
38,16
38,1
38,19
39,15
39,39
39,14
39,16
39,1
39,19
40,39
40,14
40,16
40,1
40,19
41,15
41,39
41,14
41,16
41,1
41,19
42,15
42,39
42,14
42,16
42,1
42,19
43,15
43,39
43,14
43,16
43,1
43,19
44,15
44,39
44,14
44,16
44,1
44,19
45,39
45,14
45,1
45,19
46,39
46,1
46,19
46,16
47,39
47,14
47,16
47,1
47,19
48,15
48,39
48,14
48,16
48,1
48,19
49,39
49,14
49,16
49,1
49,19
50,15
50,39
50,14
50,16
50,1
50,19
51,15
51,39
51,14
51,16
51,1
51,19
52,15
52,39
52,14
52,16
52,1
52,19
53,15
53,39
53,14
53,16
53,1
53,19
54,15
54,39
54,14
54,16
54,1
54,19
55,15
55,39
55,14
55,16
55,1
55,19
56,15
56,39
56,14
56,1
56,16
56,19
57,15
57,39
57,14
57,16
57,1
57,19
58,15
58,39
58,14
58,16
58,1
58,19
59,15
59,39
59,14
59,16
59,1
59,19
60,15
60,39
60,14
60,16
60,1
60,19
61,39
61,14
61,16
61,1
61,19
62,39
62,15
62,14
62,16
62,1
62,19
63,15
63,39
63,16
63,1
63,19
63,14
64,39
64,14
64,16
64,1
64,19
65,14
65,39
65,16
65,1
65,19
