room_id,img_url
1,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Deluxe City View/u2vs30aikngwgs2t.webp
1,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Deluxe City View/9ua9g7c1p8ymv9fn.webp
1,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Deluxe City View/w23am5pou4yayw9b.webp
1,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Deluxe City View/2c2vu3etoacjy4nn.webp
2,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Deluxe Ocean/y9z3cx7yiey7k24o.webp
2,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Deluxe Ocean/3zsi79uma57mjuvj.webp
2,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Deluxe Ocean/2x8wpaz6nzkrpt1c.webp
2,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Deluxe Ocean/gn94a6tisi69c6db.webp
2,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Deluxe Ocean/zkff6w48nok55s5t.webp
2,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Deluxe Ocean/82zzur6smh1wbe0m.webp
3,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Executive Suite/gi38x3sfcnyqmwr4.webp
3,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Executive Suite/1wp9prc5q4kbrcsh.webp
3,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Executive Suite/nizyk0ao6kd59bhi.webp
3,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Executive Suite/zl5sdyp54vrw2vh8.webp
3,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Executive Suite/4yog50uqzues6u78.webp
4,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Suite Ocean/v5gxq40usczud2wr.webp
4,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Suite Ocean/hmruhkzxfa3xzpgx.webp
4,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Suite Ocean/huzm5i6psuvrqn4c.webp
4,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Suite Ocean/3tf48lwaeyo2zrl0.webp
4,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Suite Ocean/gayj1erpojv7t455.webp
4,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Suite Ocean/afpbekpf3axcm04m.webp
4,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Suite Ocean/dx7wld2gd2hi4j13.webp
5,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Premium King/k78dq5vfxq5n9kym.webp
5,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Premium King/9j60ehu3wtp9qns8.webp
5,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Premium King/jtcbz2zkcvletuin.webp
5,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Premium King/d83udmkcn8ptlddo.webp
5,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Premium King/093tiztpu40kxsj0.webp
5,https://minio.fares.vn/mixivivu-dev/tour/delasea-phat-linh-ha-long/Premium King/xl9c9h53ynal6asm.webp
6,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/ Executive /44iimbu3baqzj8h0.webp
6,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/ Executive /xhrr6ftsb6lfom2z.webp
6,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/ Executive /3t1wgea5er7id3od.webp
6,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/ Executive /bgrqhwdw56472iyq.webp
6,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/ Executive /w4s6pypy4b37p5ra.webp
6,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/ Executive /xs4x82tpq6v3btk0.webp
6,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/ Executive /63894dkj56nfr754.webp
6,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/ Executive /iuxzl5g0tnwvc925.webp
6,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/ Executive /8nt1hp1t3f269edf.webp
7,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe Twin/418g5hjri1v2tryk.webp
7,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe Twin/qg8h6jkgheyktvyr.webp
7,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe Twin/hi8dz11sl53pq6k4.webp
7,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe Twin/gpv95keld43nxyoj.webp
7,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe Twin/327cp7sbwwsydaci.webp
8,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Studio Deluxe /e3wgp8dqnxvg5lbe.webp
8,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Studio Deluxe /vns00w20n61hmor4.webp
8,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Studio Deluxe /9bun9fuqftt3i70g.webp
8,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Studio Deluxe /js2autalabaxsci8.webp
8,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Studio Deluxe /yllaarcjz7osi4xf.webp
8,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Studio Deluxe /8t0x4r0ql2yrz0f6.webp
8,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Studio Deluxe /1jnb9wv01a7r3041.webp
9,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe 2 phòng ngủ/71ok3qclntjtybno.webp
9,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe 2 phòng ngủ/fpop0a8q4kf5no0g.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/baxeaqybxlerpmdg.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/7s4llu07rl2l3rip.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/38zf96wap69mluk0.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/lp869molob9tnqyt.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/vydk0dqxlt8s0l15.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/1i1zozelf5e253o3.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/3umguhayvgq1dn15.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/51i02kw2c4ne3yw2.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/6xv0mycej3wrxk5o.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/eixntfeuegf4m07d.webp
10,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Executive 2 phòng ngủ/e5284u7abzh4usi5.webp
