ID,Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Price,Scraped At,Website,Phone,Social Medias,Facebook,Instagram,Twitter,Emails
ypid:YN8195x7219088205947604644,Jolli Fan Go Hạ Long,"Counter 03/F1, Big C Ha Long Supermarket And Trade Center, Hạ Long Quảng Ninh",https://www.bing.com/th?id=OLC.i+eplv5zQGDJfA480x360&pid=Local,https://www.bing.com/maps?cp=20.941659927368164%7E107.12364959716797&lvl=17.0&q=Jolli%20Fan%20Go%20H%E1%BA%A1%20Long%20%2C%20Counter%2003%2FF1%2C%20Big%20C%20Ha%20Long%20Supermarket%20And%20Trade%20Center%2C%20H%E1%BA%A1%20Long%20Qu%E1%BA%A3ng%20Ninh,20.94165993,107.1236496,,,,,,2025-04-03T02:25:15.044Z,https://jollibee.com.vn/,0203 3818 558,"{""facebook"":""https://www.facebook.com/jollibeevietnam""}",https://www.facebook.com/jollibeevietnam,-- No Data --,-- No Data --,jbvnfeedback@jollibee.com.vn
ypid:YN8196x827957399983704937,Bún Hải Sản Vân Đồn Cơ Sở 5,"51A Điện Biên Phủ, Cột 8, Hồng Hà Ha Long 01113 Quảng Ninh",https://www.bing.com/th?id=OLC.IQ90Bt8aXJZ9ww480x360&pid=Local,https://www.bing.com/maps?cp=20.938112258911133%7E107.12805938720703&lvl=17.0&q=B%C3%BAn%20H%E1%BA%A3i%20S%E1%BA%A3n%20V%C3%A2n%20%C4%90%E1%BB%93n%20C%C6%A1%20S%E1%BB%9F%205%20%2C%2051A%20%C4%90i%E1%BB%87n%20Bi%C3%AAn%20Ph%E1%BB%A7%2C%20C%E1%BB%99t%208%2C%20H%E1%BB%93ng%20H%C3%A0%20Ha%20Long%2001113%20Qu%E1%BA%A3ng%20Ninh,20.93811226,107.1280594,,,,,,2025-04-03T02:25:15.045Z,https://www.facebook.com/bunhaisanvandoncoso5/,098 193 33 39,"{""facebook"":""https://www.facebook.com/bunhaisanvandoncoso5/""}",https://www.facebook.com/bunhaisanvandoncoso5/,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x4600553405013979636,Auntie Kim,"16A7, Monbay, Hai Long, Hong Hai Ha Long 200000",,https://www.bing.com/maps?cp=20.952133178710938%7E107.0995864868164&lvl=17.0&q=Auntie%20Kim%20%2C%2016A7%2C%20Monbay%2C%20Hai%20Long%2C%20Hong%20Hai%20Ha%20Long%20200000,20.95213318,107.0995865,,,,Open · Closes 10:30 PM,,2025-04-03T02:25:15.046Z,https://www.facebook.com/AuntieKim.HaLong/,0829 716 716,"{""facebook"":""https://www.facebook.com/auntiekim.halong/""}",https://www.facebook.com/auntiekim.halong/,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x2165143957633421236,Long Phung Bay Restaurant,66 Tran Quoc Nghien - Hai Ha Hong Hai Ha Long 200000 Quang Ninh Province,https://www.bing.com/th?id=OLC.829y9XJhGj38DA480x360&pid=Local,https://www.bing.com/maps?cp=20.941843032836914%7E107.10673522949219&lvl=17.0&q=Long%20Phung%20Bay%20Restaurant%20%2C%2066%20Tran%20Quoc%20Nghien%20-%20Hai%20Ha%20Hong%20Hai%20Ha%20Long%20200000%20Quang%20Ninh%20Province,20.94184303,107.1067352,,,,Open · Closes 11 PM,,2025-04-03T02:25:15.046Z,https://www.facebook.com/nhahangngonhalong/,091 938 15 88,"{""facebook"":""https://www.facebook.com/nu.tuoc/posts/8577967192219327""}",https://www.facebook.com/nu.tuoc/posts/8577967192219327,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x976843121768547659,Phuong Nam Grill Restaurant,Zone 40 Halong Bay 700000,https://www.bing.com/th?id=OLC.zX+imfrPaomNRg480x360&pid=Local,https://www.bing.com/maps?cp=20.938615798950195%7E107.11298370361328&lvl=17.0&q=Phuong%20Nam%20Grill%20Restaurant%20%2C%20Zone%2040%20Halong%20Bay%20700000,20.9386158,107.1129837,5.0,Tripadvisor (8) - $,Vietnamese restaurant,,,2025-04-03T02:25:15.047Z,,090 479 56 88,-- No Data --,-- No Data --,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x17436517104454240632,Son Doong Restaurant,"Hai Phuc Street, A11-01 Monbay, Hong Hai Ward Ha Long 200000",https://www.bing.com/th?id=OLC.6P+pAqUamy8muA480x360&pid=Local,https://www.bing.com/maps?cp=20.952308654785156%7E107.1048583984375&lvl=17.0&q=Son%20Doong%20Restaurant%20%2C%20Hai%20Phuc%20Street%2C%20A11-01%20Monbay%2C%20Hong%20Hai%20Ward%20Ha%20Long%20200000,20.95230865,107.1048584,,,Vietnamese restaurant,,,2025-04-03T02:25:15.048Z,,096 545 43 38,-- No Data --,-- No Data --,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x4568272739539813606,Nha hang Bim One Ha Long,33 Tran Quoc Nghien Hong Hai Ha Long 200000 Quang Ninh Province,https://www.bing.com/th?id=OLC.WCkhPeiiGSimTw480x360&pid=Local,https://www.bing.com/maps?cp=20.940364837646484%7E107.10871124267578&lvl=17.0&q=Nha%20hang%20Bim%20One%20Ha%20Long%20%2C%2033%20Tran%20Quoc%20Nghien%20Hong%20Hai%20Ha%20Long%20200000%20Quang%20Ninh%20Province,20.94036484,107.1087112,4.5,Tripadvisor (5) - $$,,,,2025-04-03T02:25:15.049Z,http://www.nhahangbimone.vn/,097 751 65 85,-- No Data --,-- No Data --,-- No Data --,-- No Data --,"bimone68@gmail.com,Bodil@bodilbinner.dk"
ypid:YN8196x8582683375987366601,Nhà Hàng Hồng Hạnh 2,30 Phố Hải Phượng Hạ Long 01110,https://www.bing.com/th?id=OLC.vv9qh/WFdtwVSA480x360&pid=Local,https://www.bing.com/maps?cp=20.94502830505371%7E107.10540771484375&lvl=17.0&q=Nh%C3%A0%20H%C3%A0ng%20H%E1%BB%93ng%20H%E1%BA%A1nh%202%20%2C%2030%20Ph%E1%BB%91%20H%E1%BA%A3i%20Ph%C6%B0%E1%BB%A3ng%20H%E1%BA%A1%20Long%2001110,20.94502831,107.1054077,,,,,,2025-04-03T02:25:15.050Z,,0203 3700 189,"{""facebook"":""https://www.facebook.com/nhahanghonghanhquangninh/""}",https://www.facebook.com/nhahanghonghanhquangninh/,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x14945665257278833479,Thom Nuoc Ep,172 Cao Thắng Ha Long 01109 Quảng Ninh,https://www.bing.com/th?id=OLC.ODWhoAQDZj/F/A480x360&pid=Local,https://www.bing.com/maps?cp=20.958904266357422%7E107.09046936035156&lvl=17.0&q=Thom%20Nuoc%20Ep%20%2C%20172%20Cao%20Th%E1%BA%AFng%20Ha%20Long%2001109%20Qu%E1%BA%A3ng%20Ninh,20.95890427,107.0904694,,,,Open · Closes 10 PM,,2025-04-03T02:25:15.052Z,https://www.facebook.com/ThomNuocEp/,0822 445 500,"{""facebook"":""https://www.facebook.com/thomnuocep/""}",https://www.facebook.com/thomnuocep/,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x6125754508076058638,Fiori Cafe Hạ Long,"Số 1 lô A1 , khu đô thị monbay Ha Long 200000",https://www.bing.com/th?id=OLC.Ex00WHzSelIiMg480x360&pid=Local,https://www.bing.com/maps?cp=20.94957733154297%7E107.09552001953125&lvl=17.0&q=Fiori%20Cafe%20H%E1%BA%A1%20Long%20%2C%20S%E1%BB%91%201%20l%C3%B4%20A1%20%2C%20khu%20%C4%91%C3%B4%20th%E1%BB%8B%20monbay%20Ha%20Long%20200000,20.94957733,107.09552,,,,,,2025-04-03T02:25:15.053Z,https://www.facebook.com/Fioricafehalong/,091 355 12 00,"{""facebook"":""https://www.facebook.com/fioricafehalong/""}",https://www.facebook.com/fioricafehalong/,-- No Data --,-- No Data --,-- No Data --
