id,name,address,map_link,latitude,longitude,rating,open_hours,website,phone
1,Jolli Fan Go Hạ Long,"Counter 03/F1, Big C Ha Long Supermarket And Trade Center, Hạ Long Quảng Ninh",https://www.bing.com/maps?cp=20.941659927368164%7E107.12364959716797&lvl=17.0&q=Jolli%20Fan%20Go%20H%E1%BA%A1%20Long%20%2C%20Counter%2003%2FF1%2C%20Big%20C%20Ha%20Long%20Supermarket%20And%20Trade%20Center%2C%20H%E1%BA%A1%20Long%20Qu%E1%BA%A3ng%20Ninh,20.94165993,107.1236496,,,https://jollibee.com.vn/,0203 3818 558
2,Bún Hải Sản Vân Đồn Cơ Sở 5,"51A Điện Biên Phủ, Cột 8, Hồng Hà Ha Long 01113 Quảng Ninh",https://www.bing.com/maps?cp=20.938112258911133%7E107.12805938720703&lvl=17.0&q=B%C3%BAn%20H%E1%BA%A3i%20S%E1%BA%A3n%20V%C3%A2n%20%C4%90%E1%BB%93n%20C%C6%A1%20S%E1%BB%9F%205%20%2C%2051A%20%C4%90i%E1%BB%87n%20Bi%C3%AAn%20Ph%E1%BB%A7%2C%20C%E1%BB%99t%208%2C%20H%E1%BB%93ng%20H%C3%A0%20Ha%20Long%2001113%20Qu%E1%BA%A3ng%20Ninh,20.93811226,107.1280594,,,https://www.facebook.com/bunhaisanvandoncoso5/,098 193 33 39
3,Auntie Kim,"16A7, Monbay, Hai Long, Hong Hai Ha Long 200000",https://www.bing.com/maps?cp=20.952133178710938%7E107.0995864868164&lvl=17.0&q=Auntie%20Kim%20%2C%2016A7%2C%20Monbay%2C%20Hai%20Long%2C%20Hong%20Hai%20Ha%20Long%20200000,20.95213318,107.0995865,,Open · Closes 10:30 PM,https://www.facebook.com/AuntieKim.HaLong/,0829 716 716
4,Long Phung Bay Restaurant,66 Tran Quoc Nghien - Hai Ha Hong Hai Ha Long 200000 Quang Ninh Province,https://www.bing.com/maps?cp=20.941843032836914%7E107.10673522949219&lvl=17.0&q=Long%20Phung%20Bay%20Restaurant%20%2C%2066%20Tran%20Quoc%20Nghien%20-%20Hai%20Ha%20Hong%20Hai%20Ha%20Long%20200000%20Quang%20Ninh%20Province,20.94184303,107.1067352,,Open · Closes 11 PM,https://www.facebook.com/nhahangngonhalong/,091 938 15 88
5,Phuong Nam Grill Restaurant,Zone 40 Halong Bay 700000,https://www.bing.com/maps?cp=20.938615798950195%7E107.11298370361328&lvl=17.0&q=Phuong%20Nam%20Grill%20Restaurant%20%2C%20Zone%2040%20Halong%20Bay%20700000,20.9386158,107.1129837,5.0,,,090 479 56 88
6,Son Doong Restaurant,"Hai Phuc Street, A11-01 Monbay, Hong Hai Ward Ha Long 200000",https://www.bing.com/maps?cp=20.952308654785156%7E107.1048583984375&lvl=17.0&q=Son%20Doong%20Restaurant%20%2C%20Hai%20Phuc%20Street%2C%20A11-01%20Monbay%2C%20Hong%20Hai%20Ward%20Ha%20Long%20200000,20.95230865,107.1048584,,,,096 545 43 38
7,Nha hang Bim One Ha Long,33 Tran Quoc Nghien Hong Hai Ha Long 200000 Quang Ninh Province,https://www.bing.com/maps?cp=20.940364837646484%7E107.10871124267578&lvl=17.0&q=Nha%20hang%20Bim%20One%20Ha%20Long%20%2C%2033%20Tran%20Quoc%20Nghien%20Hong%20Hai%20Ha%20Long%20200000%20Quang%20Ninh%20Province,20.94036484,107.1087112,4.5,,http://www.nhahangbimone.vn/,097 751 65 85
8,Nhà Hàng Hồng Hạnh 2,30 Phố Hải Phượng Hạ Long 01110,https://www.bing.com/maps?cp=20.94502830505371%7E107.10540771484375&lvl=17.0&q=Nh%C3%A0%20H%C3%A0ng%20H%E1%BB%93ng%20H%E1%BA%A1nh%202%20%2C%2030%20Ph%E1%BB%91%20H%E1%BA%A3i%20Ph%C6%B0%E1%BB%A3ng%20H%E1%BA%A1%20Long%2001110,20.94502831,107.1054077,,,,0203 3700 189
9,Thom Nuoc Ep,172 Cao Thắng Ha Long 01109 Quảng Ninh,https://www.bing.com/maps?cp=20.958904266357422%7E107.09046936035156&lvl=17.0&q=Thom%20Nuoc%20Ep%20%2C%20172%20Cao%20Th%E1%BA%AFng%20Ha%20Long%2001109%20Qu%E1%BA%A3ng%20Ninh,20.95890427,107.0904694,,Open · Closes 10 PM,https://www.facebook.com/ThomNuocEp/,0822 445 500
10,Fiori Cafe Hạ Long,"Số 1 lô A1 , khu đô thị monbay Ha Long 200000",https://www.bing.com/maps?cp=20.94957733154297%7E107.09552001953125&lvl=17.0&q=Fiori%20Cafe%20H%E1%BA%A1%20Long%20%2C%20S%E1%BB%91%201%20l%C3%B4%20A1%20%2C%20khu%20%C4%91%C3%B4%20th%E1%BB%8B%20monbay%20Ha%20Long%20200000,20.94957733,107.09552,,,https://www.facebook.com/Fioricafehalong/,091 355 12 00
11,Papa's BBQ Restaurant,C347 Khu Phố Cổ - Bãi Cháy - Hạ Long - Quảng Ninh Ha Long,https://www.bing.com/maps?cp=20.951936721801758%7E107.04429626464844&lvl=17.0&q=Papa's%20BBQ%20Restaurant%20%2C%20C347%20Khu%20Ph%E1%BB%91%20C%E1%BB%95%20-%20B%C3%A3i%20Ch%C3%A1y%20-%20H%E1%BA%A1%20Long%20-%20Qu%E1%BA%A3ng%20Ninh%20Ha%20Long,20.95193672,107.0442963,4.5,Closed · Opens 11 AM,https://www.papasbbq.net/,0337 413 581
12,PAPA COOK - Bún Chả Hạ Long,44 Đoàn Thị Điểm Ha Long 200000 Quảng Ninh,https://www.bing.com/maps?cp=20.951175689697266%7E107.07917785644531&lvl=17.0&q=PAPA%20COOK%20-%20B%C3%BAn%20Ch%E1%BA%A3%20H%E1%BA%A1%20Long%20%2C%2044%20%C4%90o%C3%A0n%20Th%E1%BB%8B%20%C4%90i%E1%BB%83m%20Ha%20Long%20200000%20Qu%E1%BA%A3ng%20Ninh,20.95117569,107.0791779,,Open · Closes 2 PM,https://www.facebook.com/Bunchapapacoook/,090 414 92 41
13,Gà Rán Five Star Vũ Khắc Việt,"180 Tổ 20A, Khu 2, Phường Cao Xanh, Thành Phố Hạ Long, Tỉnh Quảng Ninh Quang Ninh 70000 Quảng Bình",https://www.bing.com/maps?cp=20.96036720275879%7E107.08659362792969&lvl=17.0&q=G%C3%A0%20R%C3%A1n%20Five%20Star%20V%C5%A9%20Kh%E1%BA%AFc%20Vi%E1%BB%87t%20%2C%20180%20T%E1%BB%95%2020A%2C%20Khu%202%2C%20Ph%C6%B0%E1%BB%9Dng%20Cao%20Xanh%2C%20Th%C3%A0nh%20Ph%E1%BB%91%20H%E1%BA%A1%20Long%2C%20T%E1%BB%89nh%20Qu%E1%BA%A3ng%20Ninh%20Quang%20Ninh%2070000%20Qu%E1%BA%A3ng%20B%C3%ACnh,20.9603672,107.0865936,,,https://www.facebook.com/people/Five-Star-Vietnam/100089654894575/,098 503 44 60
14,Cay Cau Restaurant,17 Tran Hung Dao Str Hanoi,https://www.bing.com/maps?cp=20.95522117614746%7E107.08525848388672&lvl=17.0&q=Cay%20Cau%20Restaurant%20%2C%2017%20Tran%20Hung%20Dao%20Str%20Hanoi,20.95522118,107.0852585,4.5,Closed · Opens 11 AM,,091 285 33 25
15,Wander Station & D'myna Restaurant,32 văn Lang Ha Long Quảng Ninh,https://www.bing.com/maps?cp=20.956998825073242%7E107.06922149658203&lvl=17.0&q=Wander%20Station%20%26%20D'myna%20Restaurant%20%2C%2032%20v%C4%83n%20Lang%20Ha%20Long%20Qu%E1%BA%A3ng%20Ninh,20.95699883,107.0692215,4.5,Closed · Opens 10 AM,,096 168 39 99
16,Hợp Tác Xã Quà Quê,403 Cao Thắng/tp Hạ Long/quảng Ninh Ha Long 01109 Quảng Ninh,https://www.bing.com/maps?cp=20.962553024291992%7E107.09575653076172&lvl=17.0&q=H%E1%BB%A3p%20T%C3%A1c%20X%C3%A3%20Qu%C3%A0%20Qu%C3%AA%20%2C%20403%20Cao%20Th%E1%BA%AFng%2Ftp%20H%E1%BA%A1%20Long%2Fqu%E1%BA%A3ng%20Ninh%20Ha%20Long%2001109%20Qu%E1%BA%A3ng%20Ninh,20.96255302,107.0957565,,,https://htxquaque.cukcuk.vn/order-online/,094 846 41 88
17,Chick Bread Restaurant,94 Gieng Don Street Halong Bay,https://www.bing.com/maps?cp=20.953262329101562%7E107.086181640625&lvl=17.0&q=Chick%20Bread%20Restaurant%20%2C%2094%20Gieng%20Don%20Street%20Halong%20Bay,20.95326233,107.0861816,,Open · Closes 10 PM,,
18,Back Fire Bar & Cafe,1a Tran Hung Dao Ha Long 200000 Quang Ninh Province,https://www.bing.com/maps?cp=20.953622817993164%7E107.08546447753906&lvl=17.0&q=Back%20Fire%20Bar%20%26%20Cafe%20%2C%201a%20Tran%20Hung%20Dao%20Ha%20Long%20200000%20Quang%20Ninh%20Province,20.95362282,107.0854645,,,,0203 3853 999
19,Old town coffee,10 Tran Quoc Nghien Street Shanghai 200000 Quang Ninh Province,https://www.bing.com/maps?cp=20.949342727661133%7E107.09696197509766&lvl=17.0&q=Old%20town%20coffee%20%2C%2010%20Tran%20Quoc%20Nghien%20Street%20Shanghai%20200000%20Quang%20Ninh%20Province,20.94934273,107.096962,4.0,Open · Closes noon,,0203 3821 636
20,DanhSachCuaHang,283 Nguyễn Văn Cừ Ha Long 01113 Quang Ninh,https://www.bing.com/maps?cp=20.946001052856445%7E107.12506866455078&lvl=17.0&q=DanhSachCuaHang%20%2C%20283%20Nguy%E1%BB%85n%20V%C4%83n%20C%E1%BB%AB%20Ha%20Long%2001113%20Quang%20Ninh,20.94600105,107.1250687,,,https://danhsachcuahang.com/stores/cua-hang-thoi-trang-nam-torano-nguyen-van-cu-ha-noi-1514.html,097 857 29 90
21,Quán Cafe Giao Lưu Văn Hóa Cổ Vật,Hạ Long Quảng Ninh,https://www.bing.com/maps?cp=20.959020614624023%7E107.0835952758789&lvl=17.0&q=Qu%C3%A1n%20Cafe%20Giao%20L%C6%B0u%20V%C4%83n%20H%C3%B3a%20C%E1%BB%95%20V%E1%BA%ADt%20%2C%20H%E1%BA%A1%20Long%20Qu%E1%BA%A3ng%20Ninh,20.95902061,107.0835953,,,,
22,Buffet Lẩu Nướng Vương Gia,"TT. Quảng Hà, Hải Hà, Quảng Ninh 01600, Việt Nam",https://www.bing.com/maps?cp=20.94261360168457%7E107.10708618164062&lvl=17.0&q=Buffet%20L%E1%BA%A9u%20N%C6%B0%E1%BB%9Bng%20V%C6%B0%C6%A1ng%20Gia%20%2C%20TT.%20Qu%E1%BA%A3ng%20H%C3%A0%2C%20H%E1%BA%A3i%20H%C3%A0%2C%20Qu%E1%BA%A3ng%20Ninh%2001600%2C%20Vi%E1%BB%87t%20Nam,20.9426136,107.1070862,,,,
23,Huyền coffee,32 Dang Ba Hat Hong Gai Ha Long I- Quang Ninh Province,https://www.bing.com/maps?cp=20.954917907714844%7E107.08313751220703&lvl=17.0&q=Huy%E1%BB%81n%20coffee%20%2C%2032%20Dang%20Ba%20Hat%20Hong%20Gai%20Ha%20Long%20I-%20Quang%20Ninh%20Province,20.95491791,107.0831375,,,,090 426 14 14
24,Chủ Nhật Quán,"33,Phố Trần Hưng Đạo Thanh Sơn 02306 Quảng Ninh",https://www.bing.com/maps?cp=20.95387077331543%7E107.08580017089844&lvl=17.0&q=Ch%E1%BB%A7%20Nh%E1%BA%ADt%20Qu%C3%A1n%20%2C%2033%2CPh%E1%BB%91%20Tr%E1%BA%A7n%20H%C6%B0ng%20%C4%90%E1%BA%A1o%20Thanh%20S%C6%A1n%2002306%20Qu%E1%BA%A3ng%20Ninh,20.95387077,107.0858002,,,,098 866 66 22
25,Milano Coffee,72 Phố Cảng Mới Hạ Long,https://www.bing.com/maps?cp=20.950559616088867%7E107.08343505859375&lvl=17.0&q=Milano%20Coffee%20%2C%2072%20Ph%E1%BB%91%20C%E1%BA%A3ng%20M%E1%BB%9Bi%20H%E1%BA%A1%20Long,20.95055962,107.0834351,,,,097 216 29 99
