ship_id,feature_id
1,35
1,6
1,12
1,13
1,5
1,41
2,6
2,11
2,12
2,5
2,35
3,5
3,6
3,7
3,12
3,35
4,6
4,11
4,7
4,35
4,5
4,12
5,6
5,11
5,7
5,12
5,5
6,5
6,6
7,5
7,6
7,12
7,35
8,6
8,11
8,7
8,35
8,5
8,12
8,13
9,24
9,5
9,6
9,7
9,12
10,5
10,6
10,7
11,5
11,12
11,6
11,7
11,35
12,12
12,6
12,7
12,5
12,35
13,6
14,6
14,5
14,12
14,35
15,13
15,35
15,12
15,6
15,7
15,5
16,5
16,12
16,6
16,11
17,35
17,6
17,5
17,12
17,13
18,35
18,5
18,12
18,6
19,41
19,6
19,13
19,7
19,24
20,7
20,35
20,6
20,41
21,35
21,6
21,5
21,12
22,35
22,6
22,12
22,5
22,11
23,35
23,6
23,12
23,5
23,11
24,7
24,35
24,6
24,5
24,12
25,7
25,35
25,6
25,11
25,5
25,12
26,35
26,6
26,12
26,5
26,11
27,35
27,6
27,5
27,12
28,6
28,11
28,5
29,35
29,6
29,5
29,12
30,6
30,24
30,5
30,12
31,6
31,24
31,12
31,5
32,7
32,35
32,6
32,24
32,11
32,5
32,12
33,35
33,5
33,12
34,7
34,6
34,24
34,12
34,5
35,35
35,6
35,5
35,12
36,35
36,6
36,24
36,41
36,5
36,12
37,6
38,7
38,6
38,5
38,12
39,35
39,6
39,24
39,11
39,5
39,12
40,6
40,24
40,11
40,5
40,12
41,6
41,35
41,24
41,11
41,5
41,12
42,35
42,6
42,24
42,11
42,5
42,12
43,6
43,24
43,12
43,5
43,11
44,6
44,24
44,11
44,12
44,5
45,6
45,11
45,5
45,12
46,35
46,6
46,11
46,5
46,12
46,41
47,7
47,5
47,11
47,12
47,6
47,35
48,41
48,11
48,5
48,12
48,6
48,35
49,6
49,24
49,13
49,12
49,5
50,35
50,6
50,5
50,12
51,35
51,6
51,24
51,11
51,5
51,12
52,7
52,35
52,6
52,24
52,5
53,35
53,6
53,12
53,5
53,11
54,35
54,6
54,5
54,12
54,11
55,12
55,5
55,11
56,11
56,5
56,6
56,35
56,12
57,35
57,6
57,5
57,12
57,13
58,35
58,6
58,11
58,5
58,12
58,13
59,35
59,6
59,11
59,5
59,12
60,12
61,6
61,35
61,11
61,12
61,13
62,35
62,6
62,12
62,5
63,6
63,5
63,12
64,6
64,35
64,12
64,5
65,35
65,6
65,5
65,12
66,35
66,6
66,5
66,12
67,7
67,6
67,35
67,24
67,5
67,12
67,13
68,35
68,6
68,13
68,12
68,5
69,35
69,6
69,11
69,5
69,12
70,7
70,35
70,6
70,24
70,12
70,5
71,35
71,6
71,5
71,12
71,13
71,7
