room_id,feature_id
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,25
3,31
3,39
4,30
4,29
4,18
4,31
4,25
4,39
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,25
3,18
4,29
4,30
4,25
4,18
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
5,29
5,30
5,18
5,31
5,25
5,39
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
5,29
5,30
5,18
5,31
5,25
5,39
1,29
1,18
1,25
1,30
1,31
1,39
2,29
2,18
2,25
2,30
2,31
2,39
3,29
3,18
3,25
3,30
3,31
3,39
1,29
1,30
1,18
1,25
2,29
2,30
2,25
2,18
2,39
3,29
3,30
3,18
3,25
4,29
4,30
4,25
4,18
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,39
3,25
1,29
1,30
1,18
1,25
1,31
1,39
2,29
2,30
2,18
2,25
2,31
2,39
3,29
3,30
3,18
3,25
3,39
3,31
4,29
4,30
4,18
4,25
4,31
4,39
5,29
5,30
5,18
5,25
5,31
5,39
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,25
3,18
4,29
4,25
4,30
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
5,29
5,30
5,18
5,31
5,25
5,39
1,29
1,30
1,18
1,31
1,39
1,25
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
1,29
1,30
1,18
1,31
1,39
1,25
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
1,29
1,30
1,25
1,18
2,29
2,30
2,18
2,25
3,29
3,30
3,25
3,18
4,29
4,30
4,18
4,25
1,29
1,30
1,18
1,31
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
1,29
1,30
1,18
1,31
1,39
2,29
2,30
2,18
2,31
2,39
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
5,29
5,30
5,18
5,31
5,25
5,39
6,29
6,10
6,30
6,18
6,31
6,25
6,39
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,25
3,29
3,30
3,25
3,18
4,29
4,21
4,30
4,18
4,25
5,29
5,21
5,30
5,18
5,25
6,29
6,21
6,30
6,18
6,25
6,39
1,29
1,18
1,31
1,25
1,39
1,30
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,39
3,25
4,29
4,30
4,18
4,31
4,25
4,39
1,29
1,18
1,25
1,30
2,29
2,30
2,18
2,25
3,29
3,18
3,25
3,30
4,29
4,30
4,25
4,18
1,30
1,29
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
1,29
1,30
1,25
1,18
2,29
2,30
2,25
2,18
3,29
3,30
3,18
3,25
4,29
4,30
4,18
4,25
5,29
5,30
5,18
5,25
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
1,18
1,31
1,25
1,39
1,29
1,30
2,18
2,31
2,25
2,39
2,29
2,30
3,18
3,31
3,25
3,39
3,29
3,30
4,18
4,31
4,25
4,39
4,29
4,30
1,29
1,30
1,18
1,25
2,30
2,29
2,18
2,25
3,29
3,30
3,18
3,25
4,30
4,29
4,18
4,25
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
4,29
4,30
4,18
4,25
5,29
5,30
5,18
5,39
5,25
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,21
3,30
3,18
3,25
3,39
4,29
4,30
4,18
4,25
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,39
2,25
3,29
3,30
3,18
3,25
3,31
3,39
4,29
4,30
4,18
4,31
4,25
4,39
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
3,39
4,29
4,30
4,18
4,39
4,25
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
4,29
4,30
4,18
4,25
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,30
3,29
3,18
3,25
4,29
4,30
4,18
4,25
5,29
5,30
5,18
5,25
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
5,29
5,30
5,18
5,31
5,25
5,39
6,29
6,30
6,18
6,31
6,25
6,39
7,29
7,30
7,18
7,31
7,25
7,39
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
4,29
4,30
4,21
4,18
4,25
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,30
3,29
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,21
3,30
3,18
3,25
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
4,29
4,30
4,18
4,25
1,29
1,30
1,18
1,25
2,29
2,18
2,25
3,29
3,30
3,18
3,25
4,29
4,30
4,18
4,25
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
1,29
1,18
1,30
1,25
2,29
2,10
2,18
2,30
2,25
3,29
3,30
3,18
3,25
4,29
4,21
4,30
4,18
4,25
4,39
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
4,29
4,30
4,18
4,25
5,29
5,30
5,18
5,25
1,29
1,30
1,18
1,25
2,29
2,30
2,25
3,25
3,18
3,30
4,29
4,30
4,25
5,29
5,30
5,25
5,18
1,29
1,30
1,25
1,18
1,31
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,25
3,31
3,39
4,29
4,30
4,18
4,25
4,31
4,39
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
4,29
4,30
4,18
4,25
1,30
1,29
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
5,29
5,30
5,18
5,31
5,25
5,39
1,29
1,30
1,18
1,25
1,31
1,39
2,29
2,30
2,18
2,25
2,31
2,39
3,29
3,30
3,18
3,25
3,31
3,39
4,29
4,30
4,18
4,25
4,31
4,39
5,29
5,30
5,18
5,25
5,31
5,39
6,29
6,10
6,21
6,30
6,18
6,25
6,39
6,31
7,29
7,21
7,10
7,30
7,18
7,25
7,39
7,31
1,29
1,21
1,10
1,30
1,18
1,25
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
4,30
4,29
4,18
4,25
1,29
1,30
1,29
1,30
1,18
1,25
2,29
2,30
2,18
2,25
3,29
3,30
3,18
3,25
4,29
4,30
4,18
4,25
1,29
1,30
1,18
1,25
1,31
1,39
2,29
2,30
2,18
2,25
2,31
2,39
3,29
3,30
3,18
3,25
3,31
3,39
4,29
4,30
4,18
4,25
4,31
4,39
5,29
5,30
5,25
5,18
5,31
5,39
1,29
1,30
1,18
1,29
1,30
1,18
1,25
1,39
2,29
2,30
2,18
2,39
2,25
3,29
3,30
3,18
3,39
3,25
1,29
1,30
1,29
1,30
1,18
1,31
1,25
1,39
2,18
2,31
2,39
2,25
2,30
2,29
3,29
3,30
3,18
3,31
3,25
3,39
4,18
4,31
4,25
4,39
4,30
4,29
4,21
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,31
2,25
2,18
2,39
3,29
3,30
3,18
3,31
3,25
3,39
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,18
2,31
2,25
2,39
2,30
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
5,29
5,30
5,18
5,31
5,25
5,39
1,30
1,30
1,18
1,31
1,25
1,39
1,29
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
4,29
4,30
4,18
4,31
1,18
1,29
1,10
1,30
1,29
1,30
1,18
1,25
1,29
1,21
1,30
1,18
1,31
1,25
1,39
2,18
2,31
2,25
2,39
2,21
2,30
3,18
3,31
3,25
3,39
1,29
1,21
1,30
1,18
1,31
1,29
1,21
1,10
1,30
1,31
1,18
1,29
1,21
1,30
1,18
1,31
1,25
1,39
2,29
2,21
2,30
2,25
2,31
2,18
2,39
3,29
3,30
3,21
3,18
3,31
3,25
3,39
1,18
1,31
1,25
1,39
1,30
1,29
2,29
2,30
2,18
2,31
2,39
2,25
3,30
3,29
3,18
3,31
3,25
3,39
4,18
4,31
4,25
4,39
4,30
4,29
1,29
1,30
1,39
1,25
1,18
2,29
2,30
2,39
2,25
2,18
3,29
3,30
3,39
3,25
3,18
4,29
4,30
4,39
4,25
4,18
5,29
5,30
5,39
5,25
5,18
1,29
1,30
1,39
1,25
1,18
2,30
2,29
2,18
2,31
2,25
2,39
3,29
3,30
3,39
3,25
3,18
4,30
4,29
4,18
4,25
4,39
5,18
5,39
5,25
5,30
5,29
6,29
6,39
6,25
6,18
6,30
1,29
1,30
1,18
1,31
1,25
1,39
2,29
2,30
2,18
2,31
2,25
2,39
3,29
3,30
3,18
3,31
3,25
3,39
4,29
4,30
4,18
4,31
4,25
4,39
