hotel_id,hotel_name,total_rooms,company_name,hotel_price,city,address,map_link,company_id
1,DeLaSea Phát Linh Hạ Long,326,CÔNG TY CỔ PHẦN ĐẦU TƯ TÂN HOA LƯ,1950000,Hạ Long,"Lô 1, Đại Lộ Hạ Long Marine, Phường Bãi Cháy, TP. Hạ Long, Tỉnh Quảng Ninh",https://maps.app.goo.gl/yxDCjgQvorHL43xX9,1
2,Citadines Marina Hạ Long,580,The Ascott Limited,2000000,Hạ Long,"Bán đảo 3, Marina Halong, Hạ Long, Quảng Ninh",https://maps.app.goo.gl/yseMCyJmvGiZ1t7v9,2
3,Sea Stars Hotel Hạ Long,354,Sea Stars Group,2700000,Hạ Long,"Lô N8-1/Số 47 Cái Dăm, Khu đô thị, Thành phố Hạ Long, Quảng Ninh",https://maps.app.goo.gl/8EyutG7DHVyU4Xf88,3
4,Wyndham Legend Hạ Long,450,CÔNG TY CỔ PHẦN DU LỊCH DỊCH VỤ SAO HẠ LONG,2500000,Hạ Long,"12 Hạ Long, Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",https://maps.app.goo.gl/A5ueMVJi4M7CXhJG7,4
5,Hạ Long Dream Hotel,186,Geleximco Group,1500000,Hạ Long,"số 10 đường Hạ Long, phường Bãi Cháy, Tp. Hạ Long",https://maps.app.goo.gl/EMV8uhrwSEetkPX17,5
6,DLecia Hạ Long ,80,CÔNG TY TNHH VINH QUANG HẠ LONG,1400000,Hạ Long,"Tấn Mài/38 Cái Dăm, Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",https://maps.app.goo.gl/XFintsABhCX4AcNX9,6
7,Grand Fleuve Boutique  Hạ Long,102,CÔNG TY CỔ PHẦN ĐẦU TƯ MINH ĐĂNG,13500000,Hạ Long,"Grand World E101 Sun Plaza, Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",https://maps.app.goo.gl/PQT1qXD6QYLGkEyw6,7
8,Boss Hotel Nha Trang,72,Boss Hotel Nha Trang,700000,Nha Trang,"10 Tôn Đản, phường Lộc Thọ,  thành phố Nha Trang",https://maps.app.goo.gl/KSHsLTBRXLpVJD2CA,8
9,Mường Thanh Grand Hạ Long ,192,CÔNG TY CỔ PHẦN TẬP ĐOÀN MƯỜNG THANH,1500000,Hạ Long,"Ô 7, lô 20 Đông Hùng Thắng, Bãi Cháy, thành phố Hạ Long, tỉnh Quảng Ninh, Việt Nam",https://maps.app.goo.gl/6GaKNa51pvU1X4dA6,9
10,Hạ Long Plaza,200,CÔNG TY TNHH LIÊN DOANH HẠ LONG PLAZA,1200000,Hạ Long,"Số 8 đường Hạ Long, P. Bãi Cháy, TP Hạ Long, Tỉnh Quảng Ninh",https://maps.app.goo.gl/RbDpNZqAw6GkzqUx5,10
11,Royal Khanh Hotel Tuy Hoà,60,CTY TNHH VẬN TẢI THƯƠNG MẠI DỊCH VỤ AN BẢO KHANH,800000,Phú Yên,"68 Nguyễn Huệ, Phường 5, Thành phố Tuy Hoà, Phú Yên","https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Royal+Khanh/@13.0891852,109.3137021,15z/data=!4m18!1m8!3m7!1s0x316fec3f678090e3:0x1b417dd1a626ce32!2zNjggTmd1eeG7hW4gSHXhu4csIFBoxrDhu51uZyA1LCBUdXkgSMOyYSwgUGjDuiBZw6puIDYyMDAwMCwgVmnhu4d0IE5hbQ!3b1!8m2!3d13.0918291!4d109.3069429!16s%2Fg%2F11h4cwtsp0!3m8!1s0x316fedef8c5701fd:0x37bb2034ba363293!5m2!4m1!1i2!8m2!3d13.0918291!4d109.3069429!16s%2Fg%2F11fwm787jv?hl=vi-VN&entry=ttu&g_ep=EgoyMDI0MDgyMC4xIKXMDSoASAFQAw%3D%3D",11
12,Sài Gòn Phú Yên Hotel,87,CÔNG TY CỔ PHẦN DU LỊCH SÀI GÒN - PHÚ YÊN,900000,Phú Yên,"541 Trần Hưng Đạo, Phường 6, Thành phố Tuy Hoà, Phú Yên",https://maps.app.goo.gl/8GsotEzAyhox2Fmp6,12
13,Mường Thanh Quy Nhơn,86,Tập đoàn Mường Thanh,1300000,Quy Nhơn,"02 Nguyễn Huệ, Phường Lê Lợi, Thành phố Quy Nhơn, Bình Định",https://maps.app.goo.gl/ybviBzR7cfoa1bYs7,13
14,Anya Hotel Quy Nhơn,229,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN DU LỊCH – DỊCH VỤ QUY NHƠN,1400000,Quy Nhơn," 03 Nguyễn Trung Tín, Phường Nguyễn Văn Cừ, Thành phố Quy Nhơn, Bình Định",https://maps.app.goo.gl/n1ArWHkdiZ83YCm6A,14
15,New Century Hotel Hạ Long,100,CÔNG TY CỔ PHẦN XÂY DỰNG DU LỊCH THƯƠNG MẠI BẠCH LONG,1200000,Hạ Long,"Khu Coral Bay, Tổ Hợp BIM 17 tầng, Hoàng Quốc Việt, Hạ Long.",https://maps.app.goo.gl/m6dq7crkJWWk94pB6,15
