hotel_id,feature_id
1,9
1,27
1,43
1,42
1,37
1,20
2,43
2,27
2,20
2,42
2,37
3,20
3,43
3,37
3,27
3,42
4,9
4,27
4,43
4,20
4,42
4,37
5,9
5,27
5,43
5,42
5,37
6,9
6,27
7,9
8,42
8,27
8,20
8,43
9,42
9,43
9,27
9,20
9,37
9,9
10,20
10,43
10,9
10,42
10,27
10,37
11,43
11,27
11,37
12,9
12,27
12,43
12,20
12,42
12,37
13,9
13,27
13,43
13,20
13,42
13,37
14,9
14,27
14,43
14,20
14,42
14,37
15,9
15,27
15,43
15,20
15,42
15,37
16,20
16,42
16,27
16,37
16,43
16,9
17,20
17,42
17,9
17,27
17,43
17,37
18,20
18,42
18,27
18,43
18,37
19,42
19,37
19,9
19,27
19,43
19,20
20,9
20,27
20,20
20,42
20,37
21,43
21,37
21,42
21,20
21,27
22,43
22,27
22,9
23,27
23,43
23,9
24,9
24,27
24,43
25,9
25,27
25,43
25,20
25,42
25,37
26,27
26,43
26,20
26,42
26,37
27,9
27,27
27,43
27,20
27,42
27,37
28,27
28,43
28,37
28,42
29,27
29,43
29,20
29,37
29,42
30,27
30,20
30,42
30,37
30,43
30,9
31,27
31,9
31,43
31,20
31,42
31,37
32,9
32,27
32,43
32,42
32,20
32,37
33,9
33,27
33,43
33,20
33,42
33,37
34,9
34,27
34,43
34,42
34,37
34,20
35,27
35,43
35,20
35,42
35,37
36,9
36,27
36,20
36,42
36,37
36,43
37,43
37,27
37,9
37,20
37,42
37,37
38,43
38,9
38,27
38,20
38,42
38,37
39,9
39,27
39,43
39,20
39,42
39,37
40,27
40,43
40,20
40,42
40,37
41,9
41,27
41,43
41,20
41,42
41,37
42,9
42,27
42,43
42,20
42,42
42,37
43,9
43,27
43,43
43,20
43,42
43,37
44,9
44,27
44,43
44,20
44,42
44,37
45,27
45,43
45,42
45,37
46,27
46,42
46,37
46,20
47,27
47,43
47,20
47,42
47,37
48,9
48,27
48,43
48,20
48,42
48,37
49,27
49,43
49,20
49,42
49,37
50,9
50,27
50,43
50,20
50,42
50,37
51,9
51,27
51,43
51,20
51,42
51,37
52,9
52,27
52,43
52,20
52,42
52,37
53,9
53,27
53,43
53,20
53,42
53,37
54,9
54,27
54,43
54,20
54,42
54,37
55,9
55,27
55,43
55,20
55,42
55,37
56,9
56,27
56,43
56,42
56,20
56,37
57,9
57,27
57,43
57,20
57,42
57,37
58,9
58,27
58,43
58,20
58,42
58,37
59,9
59,27
59,43
59,20
59,42
59,37
60,9
60,27
60,43
60,20
60,42
60,37
61,27
61,43
61,20
61,42
61,37
62,27
62,9
62,43
62,20
62,42
62,37
63,9
63,27
63,20
63,42
63,37
63,43
64,27
64,43
64,20
64,42
64,37
65,43
65,27
65,20
65,42
65,37
66,9
66,27
66,43
66,20
66,42
66,37
67,9
67,27
67,43
67,20
67,42
67,37
68,27
68,43
68,20
68,42
68,37
69,9
69,27
69,43
69,20
69,42
69,37
70,9
70,27
70,43
70,20
70,42
