ship_id,ship_name,launch,cabin,shell,trip,company_name,ship_price,address,map_link,company_id
1,Du thuyền Heritage  Bình Chuẩn Cát Bà,2019,20,Kim loại,Vịnh Lan Hạ - Bãi tắm Ba Trái Đào  - Hang Sáng Tối,Công ty cổ phần Heritage Cruises,4150000,"Lux Cruises, Lô 28 Cảng Quốc Tế Tuần Châu",https://goo.gl/maps/6mQDuQWa4Ybq6K5p8,215
2,Du thuyền Indochine,2019,43,Kim loại,Vịnh Lan Hạ - Làng chài Việt Hải – Hang Sáng Tối,Tập đoàn du lịch Hương Hải,4125000,"Số 22, Bến 2, Cảng Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/kszKdp39x2mjDe4M9,216
3,Du thuyền Le Theatre,2019,21,Kim loại,Vịnh Lan Hạ - Làng Việt Hải – Hang Sáng Tối – Khu vực Ao Ếch,Công ty CPTM Du lịch HMT,3700000,"Bến cảng Tuần Châu , Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/88p59cQoiEbt6vkN7,217
4,Du thuyền Orchid Trendy,2017,20,Kim loại,Vịnh Lan Hạ - Hang Trung Trang – Khu vực Ao Ếch,Tập đoàn Pelican ,4150000,Cảng du thuyền quốc tế Tuần Châu,https://goo.gl/maps/6mQDuQWa4Ybq6K5p8,218
5,Du thuyền Milalux,2012,20,Kim loại,Vịnh Hạ Long – Khu vực Tùng Sâu – Đảo Titop – Hang Sửng Sốt,Công ty cổ phần du thuyền quốc tế Hạ Long,3200000,"Cảng tàu khách quốc tế Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/kBVXPKKBze7tfA1T6,219
6,Du thuyền Paradise Elegance Hạ Long,2016,31,Kim loại,Vịnh Hạ Long- Hang sửng sốt - Trại ngọc trai Tùng Sâu - Đảo Soi Sim,Paradise Group,4150000,"Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/uex5xoocdJkSuPzt6,220
7,Du thuyền Paradise Peak,2012,8,Gỗ,Vịnh Hạ Long – Làng ngọc trai Tùng Sâu – Đảo Titop – Hang Sửng Sốt,Paradise Group,4750000,"Tuần Châu, Hạ Long, Hạ Long, Việt Nam",https://maps.app.goo.gl/uex5xoocdJkSuPzt6,220
8,Du thuyền Aspira,2020,22,Kim loại,Vịnh Lan Hạ - Hang Sáng Tối -  Hang Trung Trang,Công ty  Du Lịch Châu Á Thái Bình Dương,3500000,"Bến Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/oiuwbtJsMZNym9d27,221
9,Du thuyền La Pandora,2019,23,Kim loại,Vịnh Lan Hạ-Hang sáng tối-khu vực Ao Ếch,Công ty TNHH THD travel Việt Nam,3100000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/t8Bp5VXXRcUwZ4cMA,222
10,Du thuyền Orchid Premium Ha Long,2019,7,Kim loại,Vịnh Lan Hạ - Làng chài Việt Hải – Khu vực Ao Ếch,Tập đoàn Pelican ,7650000,Cảng du thuyền quốc tế Tuần Châu,https://goo.gl/maps/6mQDuQWa4Ybq6K5p8,218
