ship_id,feature_id
1,8
1,26
1,9
1,38
1,39
1,10
2,26
2,12
2,9
2,39
2,8
3,39
3,26
3,20
3,9
3,8
4,26
4,12
4,20
4,8
4,39
4,9
5,26
5,12
5,20
5,9
5,39
6,39
6,26
7,39
7,26
7,9
7,8
8,26
8,12
8,20
8,8
8,39
8,9
8,38
9,41
9,39
9,26
9,20
9,9
10,39
10,26
10,20
11,39
11,9
11,26
11,20
11,8
12,9
12,26
12,20
12,39
12,8
13,26
14,26
14,39
14,9
14,8
15,38
15,8
15,9
15,26
15,20
15,39
16,39
16,9
16,26
16,12
17,8
17,26
17,39
17,9
17,38
18,8
18,39
18,9
18,26
19,10
19,26
19,38
19,20
19,41
20,20
20,8
20,26
20,10
21,8
21,26
21,39
21,9
22,8
22,26
22,9
22,39
22,12
23,8
23,26
23,9
23,39
23,12
24,20
24,8
24,26
24,39
24,9
25,20
25,8
25,26
25,12
25,39
25,9
26,8
26,26
26,9
26,39
26,12
27,8
27,26
27,39
27,9
28,26
28,12
28,39
29,8
29,26
29,39
29,9
30,26
30,41
30,39
30,9
31,26
31,41
31,9
31,39
32,20
32,8
32,26
32,41
32,12
32,39
32,9
33,8
33,39
33,9
34,20
34,26
34,41
34,9
34,39
35,8
35,26
35,39
35,9
36,8
36,26
36,41
36,10
36,39
36,9
37,26
38,20
38,26
38,39
38,9
39,8
39,26
39,41
39,12
39,39
39,9
40,26
40,41
40,12
40,39
40,9
41,26
41,8
41,41
41,12
41,39
41,9
42,8
42,26
42,41
42,12
42,39
42,9
43,26
43,41
43,9
43,39
43,12
44,26
44,41
44,12
44,9
44,39
45,26
45,12
45,39
45,9
46,8
46,26
46,12
46,39
46,9
46,10
47,20
47,39
47,12
47,9
47,26
47,8
48,10
48,12
48,39
48,9
48,26
48,8
49,26
49,41
49,38
49,9
49,39
50,8
50,26
50,39
50,9
51,8
51,26
51,41
51,12
51,39
51,9
52,20
52,8
52,26
52,41
52,39
53,8
53,26
53,9
53,39
53,12
54,8
54,26
54,39
54,9
54,12
55,9
55,39
55,12
56,12
56,39
56,26
56,8
56,9
57,8
57,26
57,39
57,9
57,38
58,8
58,26
58,12
58,39
58,9
58,38
59,8
59,26
59,12
59,39
59,9
60,9
61,26
61,8
61,12
61,9
61,38
62,8
62,26
62,9
62,39
63,26
63,39
63,9
64,26
64,8
64,9
64,39
65,8
65,26
65,39
65,9
66,8
66,26
66,39
66,9
67,20
67,26
67,8
67,41
67,39
67,9
67,38
68,8
68,26
68,38
68,9
68,39
69,8
69,26
69,12
69,39
69,9
70,20
70,8
70,26
70,41
70,9
70,39
71,8
71,26
71,39
71,9
71,38
71,20
