room_id,feature_id
1,5
1,24
1,43
1,33
1,9
1,22
2,5
2,24
2,43
2,33
2,9
2,22
3,5
3,24
3,43
3,9
3,33
3,22
4,24
4,5
4,43
4,33
4,9
4,22
5,5
5,24
5,43
5,9
6,5
6,24
6,43
6,9
7,5
7,24
7,9
7,43
8,5
8,24
8,9
8,43
9,5
9,24
9,43
9,33
9,9
9,22
10,5
10,24
10,43
10,33
10,9
10,22
11,5
11,24
11,43
11,33
11,9
11,22
12,5
12,24
12,43
12,33
12,9
12,22
13,5
13,24
13,43
13,33
13,9
13,22
14,5
14,24
14,43
14,33
14,9
14,22
15,5
15,24
15,43
15,33
15,9
15,22
16,5
16,24
16,43
16,33
16,9
16,22
17,5
17,24
17,43
17,33
17,9
17,22
18,5
18,24
18,43
18,33
18,9
18,22
19,5
19,43
19,9
19,24
19,33
19,22
20,5
20,43
20,9
20,24
20,33
20,22
21,5
21,43
21,9
21,24
21,33
21,22
22,5
22,24
22,43
22,9
23,5
23,24
23,9
23,43
23,22
24,5
24,24
24,43
24,9
25,5
25,24
25,9
25,43
26,5
26,24
26,43
26,33
26,9
26,22
27,5
27,24
27,43
27,33
27,9
27,22
28,5
28,24
28,43
28,33
28,22
28,9
29,5
29,24
29,43
29,9
29,33
29,22
30,5
30,24
30,43
30,9
30,33
30,22
31,5
31,24
31,43
31,9
31,22
31,33
32,5
32,24
32,43
32,9
32,33
32,22
33,5
33,24
33,43
33,9
33,33
33,22
34,5
34,24
34,43
34,9
35,5
35,24
35,43
35,9
36,5
36,24
36,9
36,43
37,5
37,9
37,24
38,5
38,24
38,43
38,33
38,9
38,22
39,5
39,24
39,43
39,33
39,9
39,22
40,5
40,24
40,43
40,33
40,9
40,22
41,5
41,24
41,43
41,33
41,9
41,22
42,5
42,24
42,43
42,33
42,9
42,22
43,5
43,24
43,43
43,33
43,22
43,9
44,5
44,24
44,43
44,33
44,9
44,22
45,5
45,24
45,43
45,33
45,9
45,22
46,5
46,24
46,43
46,33
46,9
46,22
47,5
47,24
47,43
47,33
47,22
47,9
48,5
48,24
48,43
48,33
48,9
48,22
49,5
49,24
49,43
49,33
49,9
49,22
50,5
50,24
50,9
50,43
51,5
51,24
51,43
51,9
52,5
52,24
52,9
52,43
53,5
53,24
53,43
53,9
54,5
54,24
54,43
54,33
54,22
55,5
55,24
55,43
55,33
55,9
55,22
56,5
56,24
56,43
56,33
56,9
56,22
57,5
57,24
57,43
57,33
57,9
57,22
58,5
58,24
58,43
58,33
58,9
58,22
59,5
59,24
59,43
59,33
59,9
59,22
60,5
60,24
60,43
60,33
60,9
60,22
61,5
61,24
61,43
61,33
61,22
62,5
62,24
62,43
62,33
62,22
63,5
63,24
63,43
63,33
63,9
63,22
64,5
64,24
64,43
64,33
64,9
64,22
65,5
65,24
65,43
65,33
65,9
65,22
66,5
66,24
66,43
66,33
66,9
66,22
67,5
67,24
67,43
67,33
67,9
67,22
68,5
68,7
68,24
68,43
68,33
68,9
68,22
69,5
69,24
69,43
69,33
69,9
69,22
70,5
70,24
70,43
70,9
71,5
71,24
71,9
71,43
72,5
72,21
72,24
72,43
72,9
73,5
73,21
73,24
73,43
73,9
74,5
74,21
74,24
74,43
74,9
74,22
75,5
75,43
75,33
75,9
75,22
75,24
