room_id,img_url
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/b1zy0kd45oky2b4k.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/h5fu9z0dqm454b93.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/a6f3b1uro1rfttjx.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/e1ozdho5a3a8iuom.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/ji40giht574e26xg.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/795gni5r1dhz487q.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/kg6xnii8w2pvebyk.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/jcvg35ya04zfii5h.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/1iymz2nbpguz13o4.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/mxa4oas17xq6iktj.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/wvnstpzdd8au2wi5.webp
1,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Delta Suite/2px5ryfl96991cj7.webp
2,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Ocean Suite/ceb6gpnbn7ujv921.webp
2,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Ocean Suite/en82wyw2agoayjal.webp
2,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Ocean Suite/sz5crinagg7jerzw.webp
2,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Ocean Suite/ceq4zfxi9xy56lsz.webp
2,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Ocean Suite/ikepilkaoybwsxq3.webp
2,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Ocean Suite/50jhvylxyensu71i.webp
2,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Ocean Suite/0m2fkamrmee0ifas.webp
2,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Ocean Suite/vtycgmt6ewjibe55.webp
2,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Ocean Suite/6pd0fql2l9t07dyj.webp
2,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Ocean Suite/p5bnbwfinvh2rh61.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/yj5o2csbqjtpsdsi.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/hzludb1jpmf9182j.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/yokdy0v8i4ixxzu5.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/v7z1lnmz6i3bqf18.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/2fyrx1wnzbz1d66g.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/9h4pnz4lkh75ozrv.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/adlc77smhdqjdj4e.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/rpsaha4gkvzuklsj.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/pdfry4behf5leich.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/4ydhfih7jzxcnnmj.webp
3,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Captain Suite/rjxg00mwm38jq3r9.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/zkzkyobaulxx5m2j.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/ly2o46sapyiybyek.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/glqggfwl1lh6ob3a.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/wb4pok0757amvjdy.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/a2gq9un9wclfr61d.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/hqftrnyjwihpk4h9.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/yx8vdlwsidcwawt4.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/iwfoso2gsmwrqhw5.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/mfq5nx1dczm6wxia.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/hpmn95li88cchup1.webp
5,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Junior Suite/9yk293not7bj9s5x.webp
5,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Junior Suite/565dizmml1teckqu.webp
5,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Junior Suite/7ejuqkx2afy0g5qb.webp
5,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Junior Suite/eqo51tt3f0bafj6e.webp
5,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Junior Suite/971z6j0kp0mpe31i.webp
6,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Suite/7x9e7t4l210pegdd.webp
6,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Suite/lqzgq94ierd5m6ki.webp
6,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Suite/4vncc64sq94iqwzp.webp
6,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Suite/9axexzwyjlu5a9g1.webp
6,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Suite/4ssjwwzrbgukr3vd.webp
7,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Executive Suite/6vvv19eoxngqfsza.webp
7,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Executive Suite/14ivcorcvrsvrqz4.webp
